mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 100, 50]",0.0005,15,256,12.204895908405113,10.123544472069499,17.53680509989084,14.384042963381491,12.712794700055383
Calendar,1,"[50, 100, 50]",1e-05,15,512,34.63436544698446,30.502446240739328,43.06230115370431,40.62050917885118,10.93566750001628
Calendar,1,"[50, 100, 50]",5e-05,15,512,12.607257857775135,10.39163439125106,17.961966720795992,14.628626974456472,11.099514900008217
Calendar,1,"[50, 100, 50]",0.0001,15,512,12.491866579087745,10.379059596084483,17.63234605738358,14.194793035413422,11.236724799964577
Calendar,1,"[50, 100, 50]",0.0005,15,512,12.333336764583601,10.261230597643381,17.428907133580065,14.097398221509906,10.875948200002313
Calendar,1,"[50, 100, 50]",1e-05,15,1024,40.080758909842054,36.24257756926151,47.88835906958463,45.55007992419501,8.631219800096005
Calendar,1,"[50, 100, 50]",5e-05,15,1024,12.702427610127026,10.402415990767361,18.592956712561815,15.272245519433314,8.658439299906604
Calendar,1,"[50, 100, 50]",0.0001,15,1024,12.580234938337329,10.382570987721754,17.90184576832289,14.549566292884867,8.868072999990545
Calendar,1,"[50, 100, 50]",0.0005,15,1024,12.442258624976242,10.349786325497524,17.58522211535998,14.154001552894153,8.939743799972348
Calendar,1,"[50, 100, 50]",1e-05,15,2048,41.62185945616135,37.8787628464264,49.24807959791685,46.94906480441837,6.409790399949998
Calendar,1,"[50, 100, 50]",5e-05,15,2048,28.497332688317588,23.994133527020757,37.51402936640315,34.88058286871266,5.815355199971236
Calendar,1,"[50, 100, 50]",0.0001,15,2048,12.620466783895651,10.382733368988049,18.130343521205518,14.811987677126423,5.732598600094207
Calendar,1,"[50, 100, 50]",0.0005,15,2048,12.475994491601035,10.383820464950874,17.56998745699491,14.115281062494612,5.728254699963145
Calendar,1,"[50, 100, 50]",1e-05,20,256,12.721976513469311,10.420653166610242,18.525068940259626,15.227362776273617,16.215532599948347
Calendar,1,"[50, 100, 50]",5e-05,20,256,12.499701908708863,10.376101967809856,17.835140339712243,14.351627238791256,16.391162600019015
Calendar,1,"[50, 100, 50]",0.0001,20,256,12.435405561835623,10.329676611384684,17.69287892393925,14.265510622394872,16.154722400009632
